date,heure,rang,nb_gagnants,gain_unitaire_eur
11/04/2026,19h,7,10858,16
11/04/2026,19h,6L,11784,5.2
11/04/2026,19h,6,58961,2.6
11/04/2026,19h,0L,124537,1.5
18/04/2026,13h,10,0,0
18/04/2026,13h,9L,3,1000
18/04/2026,13h,9,27,500
18/04/2026,13h,8L,98,100
18/04/2026,13h,8,523,50
18/04/2026,13h,7L,1241,14
18/04/2026,13h,7,6300,7
18/04/2026,13h,6L,6874,2
18/04/2026,13h,6,34031,1
18/04/2026,13h,0L,73942,1
18/04/2026,14h,10,0,0
18/04/2026,14h,9L,5,1000
18/04/2026,14h,9,24,500
18/04/2026,14h,8L,166,100
18/04/2026,14h,8,763,50
18/04/2026,14h,7L,1492,14
18/04/2026,14h,7,7606,7
18/04/2026,14h,6L,7109,2
18/04/2026,14h,6,35651,1
18/04/2026,14h,0L,65734,1
18/04/2026,15h,10,0,0
18/04/2026,15h,9L,5,1000
18/04/2026,15h,9,27,500
18/04/2026,15h,8L,130,100
18/04/2026,15h,8,648,50
18/04/2026,15h,7L,1411,14
18/04/2026,15h,7,7154,7
18/04/2026,15h,6L,7223,2
18/04/2026,15h,6,36150,1
18/04/2026,15h,0L,69145,1
18/04/2026,16h,10,1,400000
18/04/2026,16h,9L,2,1000
18/04/2026,16h,9,13,500
18/04/2026,16h,8L,121,100
18/04/2026,16h,8,563,50
18/04/2026,16h,7L,1318,14
18/04/2026,16h,7,6585,7
18/04/2026,16h,6L,6978,2
18/04/2026,16h,6,34880,1
18/04/2026,16h,0L,71276,1
18/04/2026,17h,10,0,0
18/04/2026,17h,9L,3,1000
18/04/2026,17h,9,24,500
18/04/2026,17h,8L,129,100
18/04/2026,17h,8,698,50
18/04/2026,17h,7L,1507,14
18/04/2026,17h,7,7144,7
18/04/2026,17h,6L,7104,2
18/04/2026,17h,6,35758,1
18/04/2026,17h,0L,72178,1
18/04/2026,18h,10,0,0
18/04/2026,18h,9L,14,1000
18/04/2026,18h,9,49,500
18/04/2026,18h,8L,247,100
18/04/2026,18h,8,1304,50
18/04/2026,18h,7L,1873,14
18/04/2026,18h,7,9742,7
18/04/2026,18h,6L,8370,2
18/04/2026,18h,6,41421,1
18/04/2026,18h,0L,74704,1
18/04/2026,19h,10,1,300000
18/04/2026,19h,9L,1,1000
18/04/2026,19h,9,22,500
18/04/2026,19h,8L,152,100
18/04/2026,19h,8,732,50
18/04/2026,19h,7L,1961,14
18/04/2026,19h,7,9730,7
18/04/2026,19h,6L,10664,2
18/04/2026,19h,6,53083,1
18/04/2026,19h,0L,111398,1
25/04/2026,13h,10,1,100000
25/04/2026,13h,9L,5,1000
25/04/2026,13h,9,14,500
25/04/2026,13h,8L,103,100
25/04/2026,13h,8,497,50
25/04/2026,13h,7L,1241,14
25/04/2026,13h,7,6113,7
25/04/2026,13h,6L,6712,2
25/04/2026,13h,6,33881,1
25/04/2026,13h,0L,70973,1
25/04/2026,14h,10,0,0
25/04/2026,14h,9L,7,1000
25/04/2026,14h,9,15,500
25/04/2026,14h,8L,120,100
25/04/2026,14h,8,586,50
25/04/2026,14h,7L,1329,14
25/04/2026,14h,7,6297,7
25/04/2026,14h,6L,6587,2
25/04/2026,14h,6,32854,1
25/04/2026,14h,0L,62797,1
25/04/2026,15h,10,0,0
25/04/2026,15h,9L,2,1000
25/04/2026,15h,9,13,500
25/04/2026,15h,8L,83,100
25/04/2026,15h,8,426,50
25/04/2026,15h,7L,971,14
25/04/2026,15h,7,5284,7
25/04/2026,15h,6L,5833,2
25/04/2026,15h,6,29747,1
25/04/2026,15h,0L,66813,1
25/04/2026,16h,10,0,0
25/04/2026,16h,9L,1,1000
25/04/2026,16h,9,18,500
25/04/2026,16h,8L,125,100
25/04/2026,16h,8,547,50
25/04/2026,16h,7L,1203,14
25/04/2026,16h,7,6327,7
25/04/2026,16h,6L,6690,2
25/04/2026,16h,6,33098,1
25/04/2026,16h,0L,67579,1
25/04/2026,17h,10,1,400000
25/04/2026,17h,9L,7,1000
25/04/2026,17h,9,18,500
25/04/2026,17h,8L,118,100
25/04/2026,17h,8,603,50
25/04/2026,17h,7L,1481,14
25/04/2026,17h,7,7395,7
25/04/2026,17h,6L,7914,2
25/04/2026,17h,6,38611,1
25/04/2026,17h,0L,69721,1
25/04/2026,18h,10,0,0
25/04/2026,18h,9L,6,1000
25/04/2026,18h,9,34,500
25/04/2026,18h,8L,174,100
25/04/2026,18h,8,866,50
25/04/2026,18h,7L,1759,14
25/04/2026,18h,7,8759,7
25/04/2026,18h,6L,8615,2
25/04/2026,18h,6,41892,1
25/04/2026,18h,0L,70386,1
25/04/2026,19h,10,0,0
25/04/2026,19h,9L,5,1384
25/04/2026,19h,9,23,726
25/04/2026,19h,8L,201,139.8
25/04/2026,19h,8,939,71.2
25/04/2026,19h,7L,2342,20.3
25/04/2026,19h,7,11815,11.1
25/04/2026,19h,6L,11499,3.6
25/04/2026,19h,6,56527,1.8
25/04/2026,19h,0L,100061,1.3
02/05/2026,13h,10,0,0
02/05/2026,13h,9L,6,1000
02/05/2026,13h,9,34,500
02/05/2026,13h,8L,146,100
02/05/2026,13h,8,784,50
02/05/2026,13h,7L,1563,14
02/05/2026,13h,7,8031,7
02/05/2026,13h,6L,7502,2
02/05/2026,13h,6,38076,1
02/05/2026,13h,0L,69718,1
02/05/2026,14h,10,0,0
02/05/2026,14h,9L,1,1000
02/05/2026,14h,9,6,500
02/05/2026,14h,8L,81,100
02/05/2026,14h,8,368,50
02/05/2026,14h,7L,1051,14
02/05/2026,14h,7,5105,7
02/05/2026,14h,6L,5963,2
02/05/2026,14h,6,29726,1
02/05/2026,14h,0L,64471,1
02/05/2026,15h,10,0,0
02/05/2026,15h,9L,4,1000
02/05/2026,15h,9,10,500
02/05/2026,15h,8L,101,100
02/05/2026,15h,8,528,50
02/05/2026,15h,7L,1246,14
02/05/2026,15h,7,6504,7
02/05/2026,15h,6L,6711,2
02/05/2026,15h,6,33475,1
02/05/2026,15h,0L,67054,1
02/05/2026,16h,10,0,0
02/05/2026,16h,9L,3,1000
02/05/2026,16h,9,10,500
02/05/2026,16h,8L,90,100
02/05/2026,16h,8,478,50
02/05/2026,16h,7L,1077,14
02/05/2026,16h,7,5701,7
02/05/2026,16h,6L,6286,2
02/05/2026,16h,6,31030,1
02/05/2026,16h,0L,69524,1
02/05/2026,17h,10,0,0
02/05/2026,17h,9L,3,1000
02/05/2026,17h,9,14,500
02/05/2026,17h,8L,101,100
02/05/2026,17h,8,509,50
02/05/2026,17h,7L,1211,14
02/05/2026,17h,7,6120,7
02/05/2026,17h,6L,6461,2
02/05/2026,17h,6,33395,1
02/05/2026,17h,0L,73357,1
02/05/2026,18h,10,0,0
02/05/2026,18h,9L,3,1000
02/05/2026,18h,9,20,500
02/05/2026,18h,8L,99,100
02/05/2026,18h,8,509,50
02/05/2026,18h,7L,1293,14
02/05/2026,18h,7,6496,7
02/05/2026,18h,6L,7382,2
02/05/2026,18h,6,36287,1
02/05/2026,18h,0L,78215,1
02/05/2026,19h,10,0,0
02/05/2026,19h,9L,5,2344
02/05/2026,19h,9,29,1127.5
02/05/2026,19h,8L,152,284.2
02/05/2026,19h,8,828,134.5
02/05/2026,19h,7L,2127,38.3
02/05/2026,19h,7,10646,23.1
02/05/2026,19h,6L,11732,7.7
02/05/2026,19h,6,57619,3.9
02/05/2026,19h,0L,124618,1.9
09/05/2026,13h,10,0,0
09/05/2026,13h,9L,3,1000
09/05/2026,13h,9,20,500
09/05/2026,13h,8L,134,100
09/05/2026,13h,8,615,50
09/05/2026,13h,7L,1445,14
09/05/2026,13h,7,7307,7
09/05/2026,13h,6L,8092,2
09/05/2026,13h,6,39937,1
09/05/2026,13h,0L,73005,1
09/05/2026,14h,10,0,0
09/05/2026,14h,9L,2,1000
09/05/2026,14h,9,19,500
09/05/2026,14h,8L,89,100
09/05/2026,14h,8,535,50
09/05/2026,14h,7L,1191,14
09/05/2026,14h,7,6161,7
09/05/2026,14h,6L,6474,2
09/05/2026,14h,6,32549,1
09/05/2026,14h,0L,66485,1
09/05/2026,15h,10,0,0
09/05/2026,15h,9L,3,1000
09/05/2026,15h,9,19,500
09/05/2026,15h,8L,92,100
09/05/2026,15h,8,520,50
09/05/2026,15h,7L,1143,14
09/05/2026,15h,7,5684,7
09/05/2026,15h,6L,6355,2
09/05/2026,15h,6,31911,1
09/05/2026,15h,0L,69543,1
09/05/2026,16h,10,0,0
09/05/2026,16h,9L,3,1000
09/05/2026,16h,9,12,500
09/05/2026,16h,8L,111,100
09/05/2026,16h,8,523,50
09/05/2026,16h,7L,1315,14
09/05/2026,16h,7,6358,7
09/05/2026,16h,6L,6749,2
09/05/2026,16h,6,33760,1
09/05/2026,16h,0L,71410,1
09/05/2026,17h,10,0,0
09/05/2026,17h,9L,2,1000
09/05/2026,17h,9,12,500
09/05/2026,17h,8L,92,100
09/05/2026,17h,8,503,50
09/05/2026,17h,7L,1178,14
09/05/2026,17h,7,5520,7
09/05/2026,17h,6L,6352,2
09/05/2026,17h,6,31343,1
09/05/2026,17h,0L,76110,1
09/05/2026,18h,10,0,0
09/05/2026,18h,9L,2,1000
09/05/2026,18h,9,34,500
09/05/2026,18h,8L,140,100
09/05/2026,18h,8,806,50
09/05/2026,18h,7L,1680,14
09/05/2026,18h,7,8632,7
09/05/2026,18h,6L,8356,2
09/05/2026,18h,6,41718,1
09/05/2026,18h,0L,78466,1
09/05/2026,19h,10,0,0
09/05/2026,19h,9L,10,1672
09/05/2026,19h,9,44,913.6
09/05/2026,19h,8L,266,205.2
09/05/2026,19h,8,1293,104.1
09/05/2026,19h,7L,2677,33.3
09/05/2026,19h,7,13393,19.8
09/05/2026,19h,6L,13507,7
09/05/2026,19h,6,67535,3.5
09/05/2026,19h,0L,129257,1.8
16/05/2026,13h,10,1,100000
16/05/2026,13h,9L,2,1000
16/05/2026,13h,9,13,500
16/05/2026,13h,8L,83,100
16/05/2026,13h,8,482,50
16/05/2026,13h,7L,1208,14
16/05/2026,13h,7,6008,7
16/05/2026,13h,6L,6539,2
16/05/2026,13h,6,32639,1
16/05/2026,13h,0L,72598,1
16/05/2026,14h,10,0,0
16/05/2026,14h,9L,6,1000
16/05/2026,14h,9,17,500
16/05/2026,14h,8L,93,100
16/05/2026,14h,8,445,50
16/05/2026,14h,7L,1154,14
16/05/2026,14h,7,5851,7
16/05/2026,14h,6L,6311,2
16/05/2026,14h,6,31310,1
16/05/2026,14h,0L,63895,1
16/05/2026,15h,10,0,0
16/05/2026,15h,9L,4,1000
16/05/2026,15h,9,41,500
16/05/2026,15h,8L,125,100
16/05/2026,15h,8,516,50
16/05/2026,15h,7L,1329,14
16/05/2026,15h,7,6184,7
16/05/2026,15h,6L,6575,2
16/05/2026,15h,6,33326,1
16/05/2026,15h,0L,67349,1
16/05/2026,16h,10,0,0
16/05/2026,16h,9L,1,1000
16/05/2026,16h,9,16,500
16/05/2026,16h,8L,118,100
16/05/2026,16h,8,531,50
16/05/2026,16h,7L,1283,14
16/05/2026,16h,7,6372,7
16/05/2026,16h,6L,6526,2
16/05/2026,16h,6,33343,1
16/05/2026,16h,0L,69228,1
16/05/2026,17h,10,1,400000
16/05/2026,17h,9L,6,1000
16/05/2026,17h,9,16,500
16/05/2026,17h,8L,105,100
16/05/2026,17h,8,507,50
16/05/2026,17h,7L,1230,14
16/05/2026,17h,7,6380,7
16/05/2026,17h,6L,6844,2
16/05/2026,17h,6,34105,1
16/05/2026,17h,0L,72802,1
16/05/2026,18h,10,0,0
16/05/2026,18h,9L,2,1000
16/05/2026,18h,9,16,500
16/05/2026,18h,8L,78,100
16/05/2026,18h,8,416,50
16/05/2026,18h,7L,1122,14
16/05/2026,18h,7,5544,7
16/05/2026,18h,6L,6170,2
16/05/2026,18h,6,31859,1
16/05/2026,18h,0L,75257,1
16/05/2026,19h,10,0,0
16/05/2026,19h,9L,4,1480
16/05/2026,19h,9,24,716.6
16/05/2026,19h,8L,170,147
16/05/2026,19h,8,811,74.6
16/05/2026,19h,7L,1892,21.8
16/05/2026,19h,7,9632,12.1
16/05/2026,19h,6L,10187,3.9
16/05/2026,19h,6,50968,1.9
16/05/2026,19h,0L,110587,1.2
23/05/2026,13h,10,1,100000
23/05/2026,13h,9L,8,1000
23/05/2026,13h,9,14,500
23/05/2026,13h,8L,117,100
23/05/2026,13h,8,499,50
23/05/2026,13h,7L,1157,14
23/05/2026,13h,7,6196,7
23/05/2026,13h,6L,6380,2
23/05/2026,13h,6,32004,1
23/05/2026,13h,0L,65803,1
23/05/2026,14h,10,0,0
23/05/2026,14h,9L,5,1000
23/05/2026,14h,9,16,500
23/05/2026,14h,8L,94,100
23/05/2026,14h,8,447,50
23/05/2026,14h,7L,1136,14
23/05/2026,14h,7,5681,7
23/05/2026,14h,6L,6003,2
23/05/2026,14h,6,30726,1
23/05/2026,14h,0L,59163,1
23/05/2026,15h,10,0,0
23/05/2026,15h,9L,1,1000
23/05/2026,15h,9,8,500
23/05/2026,15h,8L,100,100
23/05/2026,15h,8,463,50
23/05/2026,15h,7L,1086,14
23/05/2026,15h,7,5335,7
23/05/2026,15h,6L,5716,2
23/05/2026,15h,6,29116,1
23/05/2026,15h,0L,62393,1
23/05/2026,16h,10,0,0
23/05/2026,16h,9L,4,1000
23/05/2026,16h,9,8,500
23/05/2026,16h,8L,72,100
23/05/2026,16h,8,407,50
23/05/2026,16h,7L,938,14
23/05/2026,16h,7,4950,7
23/05/2026,16h,6L,5616,2
23/05/2026,16h,6,27873,1
23/05/2026,16h,0L,64060,1
23/05/2026,17h,10,0,0
23/05/2026,17h,9L,2,1000
23/05/2026,17h,9,13,500
23/05/2026,17h,8L,80,100
23/05/2026,17h,8,475,50
23/05/2026,17h,7L,1214,14
23/05/2026,17h,7,5525,7
23/05/2026,17h,6L,6136,2
23/05/2026,17h,6,30293,1
23/05/2026,17h,0L,67166,1
23/05/2026,18h,10,0,0
23/05/2026,18h,9L,2,1000
23/05/2026,18h,9,18,500
23/05/2026,18h,8L,104,100
23/05/2026,18h,8,521,50
23/05/2026,18h,7L,1189,14
23/05/2026,18h,7,6125,7
23/05/2026,18h,6L,6787,2
23/05/2026,18h,6,33578,1
23/05/2026,18h,0L,70612,1
23/05/2026,19h,10,0,0
23/05/2026,19h,9L,3,2920
23/05/2026,19h,9,26,1100
23/05/2026,19h,8L,214,212.1
23/05/2026,19h,8,994,110.3
23/05/2026,19h,7L,2167,34.5
23/05/2026,19h,7,10904,20.5
23/05/2026,19h,6L,11326,7.1
23/05/2026,19h,6,55350,3.6
23/05/2026,19h,0L,117657,1.8
30/05/2026,13h,10,0,0
30/05/2026,13h,9L,2,1000
30/05/2026,13h,9,7,500
30/05/2026,13h,8L,96,100
30/05/2026,13h,8,383,50
30/05/2026,13h,7L,1037,14
30/05/2026,13h,7,5182,7
30/05/2026,13h,6L,5742,2
30/05/2026,13h,6,29603,1
30/05/2026,13h,0L,66548,1
30/05/2026,14h,10,0,0
30/05/2026,14h,9L,2,1000
30/05/2026,14h,9,8,500
30/05/2026,14h,8L,114,100
30/05/2026,14h,8,484,50
30/05/2026,14h,7L,1093,14
30/05/2026,14h,7,5721,7
30/05/2026,14h,6L,6164,2
30/05/2026,14h,6,30540,1
30/05/2026,14h,0L,60165,1
30/05/2026,15h,10,0,0
30/05/2026,15h,9L,1,1000
30/05/2026,15h,9,14,500
30/05/2026,15h,8L,74,100
30/05/2026,15h,8,384,50
30/05/2026,15h,7L,1041,14
30/05/2026,15h,7,5150,7
30/05/2026,15h,6L,5908,2
30/05/2026,15h,6,29599,1
30/05/2026,15h,0L,63918,1
30/05/2026,16h,10,0,0
30/05/2026,16h,9L,2,1000
30/05/2026,16h,9,9,500
30/05/2026,16h,8L,87,100
30/05/2026,16h,8,450,50
30/05/2026,16h,7L,1152,14
30/05/2026,16h,7,5384,7
30/05/2026,16h,6L,5912,2
30/05/2026,16h,6,29986,1
30/05/2026,16h,0L,66254,1
30/05/2026,17h,10,0,0
30/05/2026,17h,9L,3,1000
30/05/2026,17h,9,13,500
30/05/2026,17h,8L,120,100
30/05/2026,17h,8,604,50
30/05/2026,17h,7L,1303,14
30/05/2026,17h,7,6339,7
30/05/2026,17h,6L,6205,2
30/05/2026,17h,6,31425,1
30/05/2026,17h,0L,69160,1
30/05/2026,18h,10,0,0
30/05/2026,18h,9L,1,1000
30/05/2026,18h,9,19,500
30/05/2026,18h,8L,124,100
30/05/2026,18h,8,626,50
30/05/2026,18h,7L,1427,14
30/05/2026,18h,7,7092,7
30/05/2026,18h,6L,7436,2
30/05/2026,18h,6,36665,1
30/05/2026,18h,0L,73079,1
30/05/2026,19h,10,0,0
30/05/2026,19h,9L,4,2680
30/05/2026,19h,9,37,991.8
30/05/2026,19h,8L,217,229
30/05/2026,19h,8,1079,114.8
30/05/2026,19h,7L,2428,35.3
30/05/2026,19h,7,12425,20.8
30/05/2026,19h,6L,13263,7.1
30/05/2026,19h,6,65603,3.5
30/05/2026,19h,0L,130433,1.8
06/06/2026,13h,10,0,0
06/06/2026,13h,9L,10,1000
06/06/2026,13h,9,35,500
06/06/2026,13h,8L,151,100
06/06/2026,13h,8,714,50
06/06/2026,13h,7L,1528,14
06/06/2026,13h,7,7459,7
06/06/2026,13h,6L,7365,2
06/06/2026,13h,6,36499,1
06/06/2026,13h,0L,71375,1
06/06/2026,14h,10,1,200000
06/06/2026,14h,9L,3,1000
06/06/2026,14h,9,16,500
06/06/2026,14h,8L,81,100
06/06/2026,14h,8,467,50
06/06/2026,14h,7L,1108,14
06/06/2026,14h,7,5564,7
06/06/2026,14h,6L,5897,2
06/06/2026,14h,6,30078,1
06/06/2026,14h,0L,64494,1
06/06/2026,15h,10,0,0
06/06/2026,15h,9L,5,1000
06/06/2026,15h,9,10,500
06/06/2026,15h,8L,103,100
06/06/2026,15h,8,496,50
06/06/2026,15h,7L,1198,14
06/06/2026,15h,7,5897,7
06/06/2026,15h,6L,6517,2
06/06/2026,15h,6,32512,1
06/06/2026,15h,0L,65900,1
06/06/2026,16h,10,0,0
06/06/2026,16h,9L,5,1000
06/06/2026,16h,9,19,500
06/06/2026,16h,8L,112,100
06/06/2026,16h,8,475,50
06/06/2026,16h,7L,1175,14
06/06/2026,16h,7,5755,7
06/06/2026,16h,6L,6479,2
06/06/2026,16h,6,32124,1
06/06/2026,16h,0L,67518,1
06/06/2026,17h,10,1,300000
06/06/2026,17h,9L,7,1000
06/06/2026,17h,9,29,500
06/06/2026,17h,8L,130,100
06/06/2026,17h,8,628,50
06/06/2026,17h,7L,1433,14
06/06/2026,17h,7,6761,7
06/06/2026,17h,6L,6984,2
06/06/2026,17h,6,34367,1
06/06/2026,17h,0L,70184,1
06/06/2026,18h,10,0,0
06/06/2026,18h,9L,3,1000
06/06/2026,18h,9,10,500
06/06/2026,18h,8L,79,100
06/06/2026,18h,8,462,50
06/06/2026,18h,7L,1063,14
06/06/2026,18h,7,5571,7
06/06/2026,18h,6L,6418,2
06/06/2026,18h,6,31229,1
06/06/2026,18h,0L,74387,1
06/06/2026,19h,10,0,0
06/06/2026,19h,9L,6,1320
06/06/2026,19h,9,24,716.6
06/06/2026,19h,8L,141,156.7
06/06/2026,19h,8,739,77
06/06/2026,19h,7L,1754,22.4
06/06/2026,19h,7,8852,12.5
06/06/2026,19h,6L,9477,4
06/06/2026,19h,6,48497,2
06/06/2026,19h,0L,112703,1.2
13/06/2026,13h,10,0,0
13/06/2026,13h,9L,6,1000
13/06/2026,13h,9,23,500
13/06/2026,13h,8L,130,100
13/06/2026,13h,8,666,50
13/06/2026,13h,7L,1391,14
13/06/2026,13h,7,6814,7
13/06/2026,13h,6L,6813,2
13/06/2026,13h,6,33986,1
13/06/2026,13h,0L,67372,1
13/06/2026,14h,10,0,0
13/06/2026,14h,9L,4,1000
13/06/2026,14h,9,11,500
13/06/2026,14h,8L,81,100
13/06/2026,14h,8,421,50
13/06/2026,14h,7L,1017,14
13/06/2026,14h,7,5329,7
13/06/2026,14h,6L,5535,2
13/06/2026,14h,6,27727,1
13/06/2026,14h,0L,61655,1
13/06/2026,15h,10,0,0
13/06/2026,15h,9L,5,1000
13/06/2026,15h,9,12,500
13/06/2026,15h,8L,102,100
13/06/2026,15h,8,478,50
13/06/2026,15h,7L,1216,14
13/06/2026,15h,7,6107,7
13/06/2026,15h,6L,6600,2
13/06/2026,15h,6,32946,1
13/06/2026,15h,0L,64082,1
13/06/2026,16h,10,0,0
13/06/2026,16h,9L,3,1000
13/06/2026,16h,9,15,500
13/06/2026,16h,8L,99,100
13/06/2026,16h,8,493,50
13/06/2026,16h,7L,1193,14
13/06/2026,16h,7,6077,7
13/06/2026,16h,6L,6489,2
13/06/2026,16h,6,32773,1
13/06/2026,16h,0L,66079,1
13/06/2026,17h,10,1,500000
13/06/2026,17h,9L,3,1000
13/06/2026,17h,9,14,500
13/06/2026,17h,8L,114,100
13/06/2026,17h,8,564,50
13/06/2026,17h,7L,1159,14
13/06/2026,17h,7,5931,7
13/06/2026,17h,6L,6491,2
13/06/2026,17h,6,32483,1
13/06/2026,17h,0L,69796,1
13/06/2026,18h,10,1,100000
13/06/2026,18h,9L,5,1000
13/06/2026,18h,9,23,500
13/06/2026,18h,8L,129,100
13/06/2026,18h,8,700,50
13/06/2026,18h,7L,1485,14
13/06/2026,18h,7,7241,7
13/06/2026,18h,6L,7364,2
13/06/2026,18h,6,36232,1
13/06/2026,18h,0L,69829,1
13/06/2026,19h,10,0,0
13/06/2026,19h,9L,8,1120
13/06/2026,19h,9,26,600
13/06/2026,19h,8L,194,120.6
13/06/2026,19h,8,854,61.7
13/06/2026,19h,7L,2063,17.5
13/06/2026,19h,7,10154,9.4
13/06/2026,19h,6L,10455,2.9
13/06/2026,19h,6,52734,1.4
13/06/2026,19h,0L,103144,1.1
20/06/2026,13h,10,1,100000
20/06/2026,13h,9L,1,1000
20/06/2026,13h,9,19,500
20/06/2026,13h,8L,114,100
20/06/2026,13h,8,569,50
20/06/2026,13h,7L,1356,14
20/06/2026,13h,7,6455,7
20/06/2026,13h,6L,6537,2
20/06/2026,13h,6,32968,1
20/06/2026,13h,0L,60251,1
20/06/2026,14h,10,0,0
20/06/2026,14h,9L,3,1000
20/06/2026,14h,9,11,500
20/06/2026,14h,8L,94,100
20/06/2026,14h,8,450,50
20/06/2026,14h,7L,1046,14
20/06/2026,14h,7,5389,7
20/06/2026,14h,6L,5513,2
20/06/2026,14h,6,27089,1
20/06/2026,14h,0L,56376,1
20/06/2026,15h,10,0,0
20/06/2026,15h,9L,1,1000
20/06/2026,15h,9,12,500
20/06/2026,15h,8L,66,100
20/06/2026,15h,8,477,50
20/06/2026,15h,7L,1146,14
20/06/2026,15h,7,5475,7
20/06/2026,15h,6L,5623,2
20/06/2026,15h,6,28790,1
20/06/2026,15h,0L,58386,1
20/06/2026,16h,10,0,0
20/06/2026,16h,9L,4,1000
20/06/2026,16h,9,9,500
20/06/2026,16h,8L,73,100
20/06/2026,16h,8,431,50
20/06/2026,16h,7L,1081,14
20/06/2026,16h,7,5418,7
20/06/2026,16h,6L,6137,2
20/06/2026,16h,6,30189,1
20/06/2026,16h,0L,59745,1
20/06/2026,17h,10,1,400000
20/06/2026,17h,9L,5,1000
20/06/2026,17h,9,11,500
20/06/2026,17h,8L,77,100
20/06/2026,17h,8,387,50
20/06/2026,17h,7L,943,14
20/06/2026,17h,7,4707,7
20/06/2026,17h,6L,5232,2
20/06/2026,17h,6,26329,1
20/06/2026,17h,0L,64661,1
20/06/2026,18h,10,1,100000
20/06/2026,18h,9L,4,1000
20/06/2026,18h,9,9,500
20/06/2026,18h,8L,87,100
20/06/2026,18h,8,395,50
20/06/2026,18h,7L,1021,14
20/06/2026,18h,7,4915,7
20/06/2026,18h,6L,5775,2
20/06/2026,18h,6,28234,1
20/06/2026,18h,0L,66174,1
20/06/2026,19h,10,0,0
20/06/2026,19h,9L,6,1160
20/06/2026,19h,9,21,623.8
20/06/2026,19h,8L,144,127.7
20/06/2026,19h,8,728,63.7
20/06/2026,19h,7L,1857,17.9
20/06/2026,19h,7,9165,9.6
20/06/2026,19h,6L,9933,2.9
20/06/2026,19h,6,49157,1.4
20/06/2026,19h,0L,93432,1.1
