date,heure,rang,nb_gagnants,gain_unitaire_eur
06/12/2025,13h,9L,5,1000
06/12/2025,13h,9,17,500
06/12/2025,13h,8L,165,100
06/12/2025,13h,8,923,50
06/12/2025,13h,7L,2241,14
06/12/2025,13h,7,11126,7
06/12/2025,13h,6L,12494,2
06/12/2025,13h,6,62897,1
06/12/2025,13h,0L,130220,1
06/12/2025,14h,10,0,0
06/12/2025,14h,9L,10,1000
06/12/2025,14h,9,34,500
06/12/2025,14h,8L,184,100
06/12/2025,14h,8,936,50
06/12/2025,14h,7L,2049,14
06/12/2025,14h,7,10617,7
06/12/2025,14h,6L,10880,2
06/12/2025,14h,6,54881,1
06/12/2025,14h,0L,110951,1
06/12/2025,15h,10,0,0
06/12/2025,15h,9L,4,1000
06/12/2025,15h,9,36,500
06/12/2025,15h,8L,164,100
06/12/2025,15h,8,762,50
06/12/2025,15h,7L,1921,14
06/12/2025,15h,7,10032,7
06/12/2025,15h,6L,10744,2
06/12/2025,15h,6,54471,1
06/12/2025,15h,0L,116355,1
06/12/2025,16h,10,0,0
06/12/2025,16h,9L,4,1000
06/12/2025,16h,9,28,500
06/12/2025,16h,8L,153,100
06/12/2025,16h,8,791,50
06/12/2025,16h,7L,1875,14
06/12/2025,16h,7,9756,7
06/12/2025,16h,6L,10928,2
06/12/2025,16h,6,54645,1
06/12/2025,16h,0L,117808,1
06/12/2025,17h,10,1,500000
06/12/2025,17h,9L,15,1000
06/12/2025,17h,9,61,500
06/12/2025,17h,8L,208,100
06/12/2025,17h,8,1146,50
06/12/2025,17h,7L,2232,14
06/12/2025,17h,7,11220,7
06/12/2025,17h,6L,11130,2
06/12/2025,17h,6,56134,1
06/12/2025,17h,0L,122682,1
06/12/2025,18h,10,1,100000
06/12/2025,18h,9L,10,1000
06/12/2025,18h,9,24,500
06/12/2025,18h,8L,182,100
06/12/2025,18h,8,783,50
06/12/2025,18h,7L,2085,14
06/12/2025,18h,7,10770,7
06/12/2025,18h,6L,11910,2
06/12/2025,18h,6,58581,1
