date,heure,rang,nb_gagnants,gain_unitaire_eur,gain_total_eur
04/04/2026,18h,9L,3,1000,3000
04/04/2026,18h,9,26,500,13000
04/04/2026,18h,8L,119,100,11900
04/04/2026,18h,8,695,50,34750
04/04/2026,18h,7L,1683,14,23562
04/04/2026,18h,7,8537,7,59759
04/04/2026,18h,6L,9200,2,18400
04/04/2026,18h,6,46631,1,46631
04/04/2026,18h,0L,88659,1,88659
04/04/2026,19h,10,1,700000,700000
04/04/2026,19h,9L,1,1000,1000
04/04/2026,19h,9,36,500,18000
04/04/2026,19h,8L,185,100,18500
04/04/2026,19h,8,965,50,48250
04/04/2026,19h,7L,2542,14,35588
04/04/2026,19h,7,12624,7,88368
04/04/2026,19h,6L,13726,2,27452
04/04/2026,19h,6,68664,1,68664
04/04/2026,19h,0L,147655,1,147655
11/04/2026,13h,10,0,0,0
11/04/2026,13h,9L,5,1000,5000
11/04/2026,13h,9,22,500,11000
11/04/2026,13h,8L,155,100,15500
11/04/2026,13h,8,746,50,37300
11/04/2026,13h,7L,1679,14,23506
11/04/2026,13h,7,8113,7,56791
11/04/2026,13h,6L,8032,2,16064
11/04/2026,13h,6,40137,1,40137
11/04/2026,13h,0L,81861,1,81861
11/04/2026,14h,10,0,0,0
11/04/2026,14h,9L,0,0,0
11/04/2026,14h,9,15,500,7500
11/04/2026,14h,8L,89,100,8900
11/04/2026,14h,8,354,50,17700
11/04/2026,14h,7L,1118,14,15652
11/04/2026,14h,7,5395,7,37765
11/04/2026,14h,6L,6522,2,13044
11/04/2026,14h,6,31809,1,31809
11/04/2026,14h,0L,72452,1,72452
11/04/2026,15h,10,1,300000,300000
11/04/2026,15h,9L,1,1000,1000
11/04/2026,15h,9,24,500,12000
11/04/2026,15h,8L,121,100,12100
11/04/2026,15h,8,650,50,32500
11/04/2026,15h,7L,1615,14,22610
11/04/2026,15h,7,8210,7,57470
11/04/2026,15h,6L,8309,2,16618
11/04/2026,15h,6,41277,1,41277
11/04/2026,15h,0L,73360,1,73360
11/04/2026,16h,10,0,0,0
11/04/2026,16h,9L,2,1000,2000
11/04/2026,16h,9,26,500,13000
11/04/2026,16h,8L,131,100,13100
11/04/2026,16h,8,686,50,34300
11/04/2026,16h,7L,1480,14,20720
11/04/2026,16h,7,7587,7,53109
11/04/2026,16h,6L,7573,2,15146
11/04/2026,16h,6,38363,1,38363
11/04/2026,16h,0L,74521,1,74521
11/04/2026,17h,10,0,0,0
11/04/2026,17h,9L,1,1000,1000
11/04/2026,17h,9,15,500,7500
11/04/2026,17h,8L,119,100,11900
11/04/2026,17h,8,613,50,30650
11/04/2026,17h,7L,1454,14,20356
11/04/2026,17h,7,7406,7,51842
11/04/2026,17h,6L,7795,2,15590
11/04/2026,17h,6,38666,1,38666
11/04/2026,17h,0L,77853,1,77853
11/04/2026,18h,10,0,0,0
11/04/2026,18h,9L,5,1000,5000
11/04/2026,18h,9,15,500,7500
11/04/2026,18h,8L,104,100,10400
11/04/2026,18h,8,601,50,30050
11/04/2026,18h,7L,1454,14,20356
11/04/2026,18h,7,7179,7,50253
11/04/2026,18h,6L,7449,2,14898
11/04/2026,18h,6,37981,1,37981
11/04/2026,18h,0L,83259,1,83259
11/04/2026,19h,10,0,0,0
11/04/2026,19h,9L,4,1960,7840
11/04/2026,19h,9,26,900,23400
11/04/2026,19h,8L,180,188.8,33984
11/04/2026,19h,8,926,93.1,86210.6
11/04/2026,19h,7L,2143,27.8,59575.4
11/04/2026,19h,7,10858,16,173728
11/04/2026,19h,6L,11784,5.2,61276.8
11/04/2026,19h,6,58961,2.6,153298.6
11/04/2026,19h,0L,124537,1.5,186805.5
18/04/2026,13h,10,0,0,0
18/04/2026,13h,9L,3,1000,3000
18/04/2026,13h,9,27,500,13500
18/04/2026,13h,8L,98,100,9800
18/04/2026,13h,8,523,50,26150
18/04/2026,13h,7L,1241,14,17374
18/04/2026,13h,7,6300,7,44100
18/04/2026,13h,6L,6874,2,13748
18/04/2026,13h,6,34031,1,34031
18/04/2026,13h,0L,73942,1,73942
18/04/2026,14h,10,0,0,0
18/04/2026,14h,9L,5,1000,5000
18/04/2026,14h,9,24,500,12000
18/04/2026,14h,8L,166,100,16600
18/04/2026,14h,8,763,50,38150
18/04/2026,14h,7L,1492,14,20888
18/04/2026,14h,7,7606,7,53242
